Carimbo de data/hora,Qual o seu grau de preocupação com os preços dos combustíveis? ,Em qual das opções seu automóvel se encaixa?,Qual  frequência em média que você abastece seu veiculo?,"Quão satisfeito você está com os preços atuais dos combustíveis atualmente, principalmente gasolina e etanol?",Você faz controle de gastos com o combustível do seu carro? ,"Se sua resposta anterior for ""sim"" por favor explique como acontece esse controle.","Você utiliza algum app ou site que avise de datas importantes sobre seu veículo, como pagamento de IPVA e licenciamento? ","Você utiliza algum app, site ou ferramenta para auxilio no controle de financeiro de gastos com seu automóvel? Explique brevemente sua resposta","Você pensa no custo-benefício e compara os valores de gasolina e etanol, antes de abastecer seu carro?","De 0 a 10 quão útil seria um site que compara imediatamente os valores de etanol e gasolina, indicando qual a melhor opção para abastecer?"
24/08/2022 21:33:20,Preocupação alta,Flex,Uma vez por semana,2,Sim,Analiso o que está compensando mais: álcool/gasolina,"Não, mas tenho interesse em usar sites ou app desse tipo","Não utilizo, mas é uma ideia sensacional ",Faço isso com frequência,10
24/08/2022 21:47:42,Preocupação moderada,Flex,Uma vez por semana,5,Sim,"Na mente, e pelo painel do carro","Não, mas tenho interesse em usar sites ou app desse tipo","Não, mas usaria",Faço isso com frequência,10
24/08/2022 21:47:59,Preocupação alta,Flex,Duas vezes por semana,6,Sim,Coloco no Excel ,"Não, mas tenho interesse em usar sites ou app desse tipo",Excel só jogo todos os gastos lá ,Dificilmente faço isso,10
24/08/2022 21:51:22,"Preocupação excessiva, Preocupação alta",Somente gasolina,Uma vez por semana,0,Não,.,"Não, mas tenho interesse em usar sites ou app desse tipo",Não ,"Não, nunca faço isso antes de abastecer",8
24/08/2022 21:52:04,Absolutamente nenhuma preocupação,Somente gasolina,Mais de três vezes por semana,4,Não,.,"Não, mas tenho interesse em usar sites ou app desse tipo","Não, apenas o computador de bordo que me da a data de revisão.",Dificilmente faço isso,10
24/08/2022 21:53:53,Preocupação alta,Diesel,Uma vez por semana,6,Sim,Tenho uma planilha no excel que vou preenchendo conforme vou abastecendo ,Sim,Uso o Excel ,Dificilmente faço isso,10
24/08/2022 21:56:01,Preocupação moderada,Flex,Mais de três vezes por semana,1,Não,.,"Não, mas tenho interesse em usar sites ou app desse tipo",.,"Não, nunca faço isso antes de abastecer",10
24/08/2022 21:56:08,Preocupação alta,Flex,Uma vez por semana,1,Não,Não faço controle de gastos com combustível.,Sim,Não utilizo.,Dificilmente faço isso,8
24/08/2022 22:09:07,Preocupação moderada,Flex,Mais de três vezes por semana,5,Sim,Anotações no Whatsapp,"Não, e não tenho interesse em usar sites ou app desse tipo",Não ,Dificilmente faço isso,10
24/08/2022 22:09:36,Preocupação alta,Flex,Mais de três vezes por semana,1,Não,.,"Não, e não tenho interesse em usar sites ou app desse tipo, Não, mas tenho interesse em usar sites ou app desse tipo",Nao,Dificilmente faço isso,10
24/08/2022 22:18:46,Preocupação alta,Flex,Uma vez por semana,5,Sim,Controle por planilhas ,"Não, mas tenho interesse em usar sites ou app desse tipo",Não ,"Não, nunca faço isso antes de abastecer",10
24/08/2022 22:20:12,Preocupação baixa,Flex,A cada duas semanas,1,Não,-,Sim,não ,"Não, nunca faço isso antes de abastecer",9
24/08/2022 22:21:14,Preocupação excessiva,Flex,Mais de três vezes por semana,2,Não,.,"Não, mas tenho interesse em usar sites ou app desse tipo",Não ,"Sim, faço isso toda vez antes de abastecer",10
24/08/2022 22:22:36,Absolutamente nenhuma preocupação,Flex,A cada duas semanas,4,Não,-,"Não, e não tenho interesse em usar sites ou app desse tipo",Não ,Dificilmente faço isso,6
24/08/2022 23:04:47,Preocupação moderada,Flex,A cada duas semanas,4,Não,Foi não ,"Não, mas tenho interesse em usar sites ou app desse tipo",Não tenho ,Faço isso com frequência,10
25/08/2022 06:15:49,Preocupação alta,Somente gasolina,Uma vez por semana,3,Não,Não tenho controle ,"Não, mas tenho interesse em usar sites ou app desse tipo",Não utilizo ,Dificilmente faço isso,10
25/08/2022 06:54:04,Preocupação moderada,Flex,Duas vezes por semana,3,Sim,Gasto uma quantidade máxima na semana/ mês ,"Não, e não tenho interesse em usar sites ou app desse tipo",Não ,"Sim, faço isso toda vez antes de abastecer",10
25/08/2022 08:33:47,Preocupação alta,Somente gasolina,Duas vezes por semana,1,Não,Não controlo muito pois abasteço quando necessario,"Não, mas tenho interesse em usar sites ou app desse tipo",Não uso nenhum app,Dificilmente faço isso,10
25/08/2022 08:35:03,Preocupação moderada,Somente gasolina,Uma vez por semana,8,Sim,"Ver realmente quanto dura o tanque cheio, até o próximo abastecimento!","Não, mas tenho interesse em usar sites ou app desse tipo","Não, por que meus maiores gasto são quando saio pra curtir, ultimamente não to saindo, e consigo controlar meus gasto de cabeça !!",Dificilmente faço isso,8
25/08/2022 09:00:00,Preocupação moderada,Somente gasolina,Duas vezes por semana,6,Sim,Tabela de gastos pelo Excel ,"Não, mas tenho interesse em usar sites ou app desse tipo",.,Faço isso com frequência,9
25/08/2022 16:40:55,Preocupação moderada,Diesel,Mais que duas semanas,0,Sim,"Eu tenho uma calculadora de consumo ao vivo no meu veículo.  Estou, portanto, ciente do impacto da minha maneira de dirigir no meu consumo de combustível.  Então eu tento dirigir o melhor possível para consumir o mínimo possível e economizar dinheiro no caminho. ","Não, e não tenho interesse em usar sites ou app desse tipo","não, eu não uso um site para verificar meus gastos diretamente.  mas sim, já justifica um site para comparar preços de combustível ao vivo quando estou na França, temos um site especializado nissoP","Sim, faço isso toda vez antes de abastecer",10
25/08/2022 17:39:28,Preocupação alta,Flex,Uma vez por semana,8,Sim,Utilizo planilhas do Excel ,"Não, mas tenho interesse em usar sites ou app desse tipo",Não utilizo nenhuma ferramenta para controle de gastos financeiros ,Dificilmente faço isso,10
